dim	coefficient
0	4.325119e-09
1	-2.1241067e-06
2	-2.3713626e-06
3	-5.961467e-08
4	2.477158e-07
5	3.085449e-08
6	-5.4391544e-06
7	1.6286614e-07
8	-7.969234e-07
9	4.5576493e-07
10	1.5735643e-06
11	-3.3234647e-07
12	-3.192985e-06
13	-2.0663472e-06
14	-4.7621156e-06
15	-1.3478966e-06
16	2.3925422e-06
17	-5.262853e-07
18	9.079992e-08
19	-2.6605244e-06
20	2.561807e-06
21	-5.3686796e-07
22	-1.0098165e-06
23	6.937817e-07
24	1.8688985e-07
25	-1.2319638e-06
26	-2.7041455e-07
27	1.1821658e-06
28	-3.5535263e-06
29	-4.229284e-07
30	1.3540675e-06
31	1.2533409e-06
32	-3.5746937e-06
33	-6.050982e-06
34	1.0618287e-06
35	1.5312581e-06
36	7.5460963e-07
37	-2.315175e-07
38	-7.371995e-08
39	8.603957e-07
40	5.703655e-07
41	-3.949351e-07
42	-7.929561e-07
43	-6.737256e-07
44	-1.4611773e-07
45	3.04136e-07
46	-8.767922e-06
47	1.668777e-06
48	-9.4160676e-08
49	5.03631e-06
50	5.633126e-07
51	-1.2297675e-06
52	2.535348e-06
53	4.959629e-06
54	-4.19729e-07
55	1.08828e-06
56	9.381922e-07
57	-2.9906678e-06
58	1.3897669e-06
59	1.3324667e-06
60	-1.4043133e-06
61	-2.581184e-06
62	-1.0545572e-06
63	1.495995e-06
64	-3.5676508e-06
65	-1.3708145e-06
66	1.2976424e-06
67	1.6286697e-06
68	-8.0926753e-07
69	-1.12838705e-07
70	-3.159481e-06
71	4.3835234e-07
72	1.4439839e-06
73	4.114643e-07
74	5.060116e-07
75	4.0154714e-06
76	-7.8568456e-07
77	2.9937494e-06
78	-4.3107826e-07
79	9.741166e-07
80	7.6871515e-07
81	-1.4082796e-06
82	-7.3477463e-07
83	4.8071083e-06
84	-4.4386206e-07
85	-2.1950639e-06
86	8.3306855e-07
87	2.976127e-06
88	3.7536508e-06
89	6.0033676e-07
90	4.1543214e-07
91	-2.7980516e-06
92	1.4060757e-07
93	-4.0496236e-08
94	-1.3937363e-06
95	-3.3454907e-07
96	-2.7354645e-06
97	2.1443783e-07
98	-2.5728095e-06
99	6.229268e-07
100	1.6925803e-07
101	1.4651403e-06
102	-7.9251606e-07
103	-5.157071e-07
104	1.6936819e-07
105	-2.143055e-06
106	8.5532764e-07
107	-3.477992e-08
108	4.5069416e-07
109	-1.1592397e-06
110	7.136167e-07
111	3.0351857e-06
112	3.4072124e-07
113	-8.48056e-07
114	-2.5631135e-07
115	4.0496236e-08
116	-1.4563232e-06
117	-4.5972968e-07
118	-3.887644e-07
119	9.3499686e-08
120	1.3849195e-06
121	-2.768079e-06
122	-5.9890496e-08
123	1.2759606e-05
124	4.135376e-06
125	3.2961204e-06
126	8.6083503e-07
127	-1.4514754e-06
128	1.3498746e-07
129	1.2161054e-06
130	-1.710212e-07
131	-5.101986e-07
132	-3.971396e-07
133	1.7190262e-06
134	4.538234e-06
135	2.3590385e-06
136	-1.7318109e-06
137	-2.3145208e-06
138	9.697057e-08
139	5.496482e-07
140	-8.8794184e-07
141	-3.4019197e-06
142	2.7028402e-06
143	-4.075425e-06
144	-1.2888285e-06
145	-9.3444704e-08
146	1.3108724e-06
147	-2.1655344e-06
148	3.306697e-06
149	5.238181e-06
150	-2.7381031e-06
151	-1.026346e-06
152	1.0459646e-06
153	7.065635e-07
154	-4.4386284e-06
155	2.4551267e-07
156	-1.3240907e-06
157	-7.515235e-07
158	3.5332632e-06
159	2.6199705e-06
160	1.141613e-06
161	-2.0892797e-07
162	-4.6457808e-07
163	2.1686185e-07
164	-1.817099e-07
165	-2.8430136e-06
166	-4.1150793e-06
167	-7.3609705e-08
168	1.884872e-07
169	4.6396185e-06
170	-9.744685e-06
171	-1.8286701e-07
172	-4.7727212e-06
173	1.304697e-06
174	2.3691753e-07
175	-3.32511e-08
176	9.813882e-07
177	-1.4968747e-06
178	-4.2799334e-07
179	3.0783758e-06
180	-3.2130778e-05
181	-1.3452502e-06
182	-1.2033192e-07
183	1.6172056e-06
184	-2.2276815e-06
185	-4.4703525e-06
186	-1.0195153e-06
187	6.038628e-08
188	2.19286e-07
189	-2.5970596e-06
190	1.32233025e-08
191	-1.6608459e-06
192	2.766313e-06
193	-2.203884e-06
194	-3.964336e-06
195	2.3643277e-06
196	-1.7714796e-06
197	-2.3237742e-06
198	4.636978e-07
199	2.6874152e-06
200	1.7179288e-07
201	4.1847265e-06
202	2.2519273e-06
203	1.1707007e-06
204	-1.6308718e-08
205	-3.4642316e-08
206	-1.5779788e-07
207	-5.2857995e-06
208	-3.1846078e-08
209	-2.441019e-06
210	-8.464671e-06
211	-8.639223e-08
212	-3.1118873e-07
213	-3.512987e-07
214	1.3223293e-07
215	2.2594215e-06
216	-8.767021e-07
217	2.865932e-06
218	-2.150101e-06
219	1.1632064e-06
220	-8.64361e-07
221	2.7273096e-08
222	-8.815539e-09
223	-2.0769419e-06
224	3.7201553e-06
225	1.3130724e-06
226	-9.996797e-07
227	7.078884e-06
228	-5.968097e-07
229	1.7939553e-07
230	8.916923e-07
231	3.0215284e-07
232	7.6201245e-06
233	2.6349578e-06
234	-4.829144e-06
235	3.081316e-08
236	2.0218383e-06
237	-7.228745e-08
238	-3.7968477e-06
239	-8.096207e-06
240	-3.6893002e-07
241	1.5660847e-06
242	1.3311397e-06
243	-1.2500401e-06
244	-1.879493e-08
245	-7.4887697e-07
246	6.214955e-07
247	2.7433916e-06
248	1.4113613e-06
249	-5.147392e-06
250	1.2738501e-07
251	-6.6918847e-06
252	-1.1451411e-06
253	4.4888593e-06
254	1.1887703e-06
255	4.0055674e-08
256	3.04136e-07
257	-2.4727467e-06
258	3.9511115e-06
259	-2.2727532e-07
260	-2.5515374e-07
261	1.1630982e-07
262	-2.7380927e-06
263	5.3554338e-08
264	3.1118893e-06
265	1.001004e-06
266	-1.2071766e-07
267	5.6375086e-07
268	-2.247083e-06
269	6.611652e-07
270	4.4694823e-07
271	-2.1642131e-07
272	1.3575984e-06
273	-1.5162671e-07
274	1.4157723e-06
275	2.790119e-06
276	-1.3188045e-06
277	1.0419919e-06
278	2.199477e-07
279	-5.333411e-07
280	1.0358227e-08
281	7.687174e-07
282	2.780417e-06
283	-1.4175345e-06
284	4.315207e-06
285	4.709244e-06
286	3.261747e-07
287	-1.7679482e-06
288	-4.0110507e-08
289	-2.561795e-06
290	-4.2984394e-09
291	-2.7592526e-07
292	-1.391095e-06
293	-2.7617306e-08
294	1.7912075e-07
295	-1.4545647e-07
296	4.3504483e-06
297	2.329938e-06
298	1.8265828e-06
299	-5.3739723e-06
300	-2.2259148e-07
301	-4.6369865e-07
302	-4.8741217e-06
303	-1.5361067e-07
304	1.1804011e-06
305	-1.224914e-06
306	6.223776e-07
307	-6.796754e-07
308	-1.3045224e-05
309	2.2003578e-06
310	-2.035288e-07
311	3.0184478e-06
312	2.207402e-06
313	6.425428e-07
314	-6.876118e-08
315	-1.17246536e-07
316	-4.0595543e-07
317	-1.5845924e-06
318	-5.3827607e-06
319	-4.2208894e-06
320	-2.1933e-06
321	-6.854062e-08
322	3.881476e-06
323	2.3537464e-06
324	-4.793434e-09
325	1.1327985e-06
326	-4.950795e-06
327	4.0375053e-07
328	-6.4353266e-08
329	5.49207e-07
330	3.438047e-07
331	5.1853135e-06
332	8.639223e-08
333	2.6887244e-07
334	-1.9442662e-06
335	2.3070204e-06
336	1.8380289e-06
337	4.642242e-06
338	-5.950458e-08
339	5.684232e-06
340	2.4480753e-06
341	-4.6612055e-08
342	2.417667e-06
343	-1.3408352e-06
344	7.475598e-07
345	4.5422195e-07
346	-7.870519e-06
347	2.2038854e-08
348	4.190915e-06
349	2.8897198e-06
350	-3.107464e-06
351	2.6027925e-07
352	1.7172667e-06
353	-2.7080281e-07
354	-2.541515e-06
355	-3.6628612e-06
356	-1.6183083e-06
357	-4.517946e-06
358	1.9905394e-06
359	1.8380406e-07
360	3.5262008e-06
361	1.0838712e-06
362	-7.360966e-07
363	3.926444e-06
364	4.3284213e-06
365	-4.2071946e-07
366	7.4028395e-07
367	-4.1274366e-06
368	6.3921307e-06
369	-4.864426e-06
370	1.0512496e-06
371	2.5952836e-06
372	2.5344566e-09
373	2.0615043e-06
374	3.1630068e-06
375	-1.5488841e-06
376	9.0645784e-07
377	-6.651323e-06
378	-2.1412845e-06
379	-6.876094e-07
380	2.1985877e-06
381	5.204704e-06
382	7.605588e-07
383	2.4699952e-07
384	3.0977683e-06
385	-2.5238885e-06
386	-5.6648414e-06
387	-1.2958792e-06
388	-7.847551e-06
389	2.8460865e-06
390	2.9849366e-06
391	7.5207154e-08
392	-1.132133e-06
393	8.0750107e-07
394	-4.306397e-07
395	2.1254223e-06
396	2.1201406e-06
397	-8.48756e-06
398	5.4347703e-07
399	-5.924053e-07
400	6.2193357e-07
401	-2.5684187e-06
402	5.344429e-07
403	-4.3196113e-08
404	3.7739367e-06
405	-4.599516e-07
406	-1.6560016e-06
407	1.3866853e-06
408	-2.2788129e-07
409	2.5102136e-07
410	-3.1004147e-06
411	-3.6549168e-06
412	-2.5781137e-06
413	-3.7854018e-06
414	4.4306885e-06
415	7.449134e-07
416	6.8884765e-06
417	6.197343e-07
418	-1.7251939e-06
419	-8.498175e-07
420	-7.89167e-06
421	-2.6578795e-07
422	-6.1400164e-07
423	-3.3137542e-06
424	2.0958848e-07
425	5.730079e-07
426	7.197864e-07
427	5.085469e-07
428	-3.530614e-07
429	-3.825933e-06
430	-3.0060957e-07
431	-1.6132411e-07
432	-7.9604126e-07
433	9.0535116e-07
434	5.330074e-07
435	-6.773856e-06
436	8.837538e-07
437	9.18052e-06
438	-1.7014013e-07
439	1.8186385e-06
440	-4.4210034e-07
441	2.4216329e-06
442	1.0389103e-06
443	-1.8565447e-06
444	2.1536334e-06
445	-1.299851e-06
446	1.744603e-06
447	-8.623334e-06
448	-2.1201406e-06
449	-1.2570968e-06
450	4.4024687e-06
451	-4.846786e-06
452	2.8139061e-06
453	6.1232518e-06
454	2.2391396e-07
455	4.4077783e-06
456	3.898228e-06
457	2.794512e-07
458	5.112116e-06
459	-7.281629e-07
460	5.289317e-07
461	-3.966977e-07
462	-3.3230017e-06
463	2.7372143e-06
464	6.3780254e-07
465	-1.2434298e-06
466	1.8523632e-07
467	-4.934492e-07
468	8.551029e-07
469	-4.672244e-07
470	-4.026476e-07
471	6.98628e-08
472	-1.7207814e-06
473	-3.570296e-08
474	-7.7223626e-07
475	1.2205115e-06
476	-5.7018706e-06
477	-4.381322e-06
478	1.9063599e-06
479	-1.8380406e-07
480	2.283215e-06
481	1.744603e-06
482	-3.5482632e-08
483	-4.4694693e-06
484	2.5864658e-06
485	-1.6476213e-06
486	7.0259983e-07
487	2.7328165e-06
488	-8.826535e-08
489	2.2038755e-07
490	3.1057125e-06
491	4.58582e-06
492	7.1769523e-07
493	-1.1636517e-06
494	-2.4277954e-06
495	3.2396997e-06
496	2.891498e-07
497	2.184264e-08
498	3.5826233e-06
499	8.7604136e-08
500	-1.5096539e-07
501	-3.7130894e-06
502	1.9993595e-06
503	6.274439e-07
504	5.6251997e-06
505	-1.8512658e-07
506	-1.1133961e-06
507	-1.8115864e-07
508	4.2041306e-06
509	4.103634e-07
510	-6.829844e-07
511	-2.6384857e-06
512	5.4876875e-07
513	-5.391582e-06
514	-2.6455386e-06
515	-7.0237735e-07
516	-8.159656e-06
517	-3.753202e-07
518	7.651872e-07
519	1.3937346e-06
520	2.8456589e-06
521	-3.439812e-06
522	-2.2532504e-06
523	1.4193059e-06
524	3.407213e-07
525	1.9045906e-06
526	2.533584e-06
527	-1.299406e-06
528	-1.555944e-07
529	1.6000193e-06
530	-5.003932e-07
531	3.3895702e-07
532	-3.6496192e-07
533	-7.1625985e-09
534	-3.060749e-06
535	3.1482452e-07
536	5.6447124e-08
537	2.4463003e-07
538	-6.2579386e-07
539	-3.0272533e-06
540	5.0689227e-06
541	9.507561e-07
542	-1.7525207e-06
543	6.0121914e-07
544	-4.414804e-06
545	-1.890923e-06
546	5.1240164e-08
547	-2.0275652e-06
548	2.1712708e-06
549	-1.0931288e-06
550	-2.9620264e-07
551	-9.357659e-07
552	1.391095e-06
553	-3.4512803e-07
554	5.19895e-07
555	1.5723335e-05
556	-9.124048e-08
557	3.7741348e-08
558	5.8499922e-06
559	-1.438036e-08
560	5.5647854e-07
561	-3.2934915e-06
562	-1.0071732e-07
563	7.250755e-06
564	-6.0245197e-06
565	-1.7807318e-06
566	-1.7675076e-06
567	-1.3135112e-06
568	2.2259142e-06
569	-5.398405e-07
570	4.890867e-06
571	-1.9852512e-06
572	2.537112e-06
573	2.4587123e-09
574	1.2306496e-06
575	-2.228134e-06
576	-3.04136e-07
577	-5.413822e-07
578	-2.3634418e-06
579	1.4386982e-06
580	3.5151925e-07
581	-5.196753e-07
582	-4.528532e-06
583	-7.9383574e-07
584	2.0584298e-06
585	-6.7562414e-06
586	7.0876723e-07
587	6.6698067e-06
588	3.6055596e-06
589	-1.3752236e-07
590	2.2602949e-06
591	-1.2823857e-08
592	6.473892e-10
593	-1.0109667e-05
594	-3.97581e-07
595	3.5941046e-06
596	-1.8071834e-06
597	-2.1677424e-06
598	-3.029022e-06
599	1.4386982e-06
600	-2.7539782e-06
601	-1.2777042e-07
602	-4.4386334e-06
603	8.198424e-08
604	1.3139567e-06
605	1.5559447e-06
606	1.9559523e-07
607	-4.9084765e-06
608	-6.604617e-06
609	1.170705e-06
610	-9.485522e-07
611	3.9352594e-06
612	2.8967868e-06
613	1.0810081e-06
614	-2.4683456e-07
615	-1.4854159e-07
616	-9.542797e-07
617	3.4239579e-06
618	1.04905126e-07
619	-5.782996e-07
620	8.4629283e-07
621	2.496555e-06
622	-1.7454755e-07
623	-5.5008945e-07
624	-3.6408144e-07
625	5.774183e-07
626	-2.1271817e-06
627	-1.7595816e-06
628	4.3046416e-06
629	-1.9861454e-06
630	9.1452375e-06
631	-1.4184192e-06
632	-1.0203988e-07
633	-2.0540153e-07
634	-1.1618856e-06
635	-1.8534578e-07
636	-1.7318145e-06
637	8.9565583e-07
638	3.510347e-06
639	1.8049789e-06
640	2.7768886e-06
641	-2.0601858e-06
642	1.5361005e-06
643	-1.366411e-07
644	-7.184673e-07
645	4.883818e-07
646	-6.668948e-07
647	2.6033393e-09
648	-1.8424402e-07
649	-9.558257e-07
650	-3.2811504e-06
651	-2.1800718e-06
652	2.6402586e-06
653	-1.7609041e-07
654	-1.797932e-06
655	-8.7273776e-08
656	3.2617436e-08
657	-2.1024995e-07
658	-2.1307103e-06
659	-2.239582e-06
660	-1.6441022e-07
661	-1.0468415e-06
662	5.6516396e-06
663	-8.8860185e-07
664	-9.589513e-06
665	1.3426052e-06
666	-1.2376987e-06
667	3.9775587e-06
668	4.8816023e-08
669	-4.0595543e-07
670	-2.2744027e-07
671	-6.3877233e-06
672	-4.369877e-06
673	3.0880733e-06
674	3.9449404e-07
675	7.5531516e-06
676	-4.658127e-06
677	2.9934208e-07
678	2.0945636e-06
679	6.280196e-06
680	6.710842e-07
681	-5.1306097e-07
682	-2.535352e-06
683	2.6146777e-06
684	-7.5284834e-06
685	-9.046913e-07
686	3.827702e-06
687	1.5058e-07
688	-1.2310868e-06
689	-4.292047e-08
690	4.6334308e-06
691	6.375832e-07
692	-6.787992e-07
693	5.7071697e-06
694	-2.129836e-06
695	2.7751223e-06
696	3.4327836e-06
697	-1.8512615e-06
698	6.7152405e-07
699	3.0700073e-06
700	3.9669757e-08
701	4.2358704e-07
702	-1.3121861e-06
703	-2.3568302e-06
704	1.932358e-06
705	3.6716494e-07
706	1.299406e-06
707	1.4642568e-06
708	-1.8583225e-06
709	-2.13247e-06
710	3.2035573e-06
711	-1.06681535e-08
712	3.0131318e-06
713	-2.347135e-06
714	-1.087839e-06
715	-1.0752164e-07
716	-2.4066446e-07
717	4.718055e-06
718	-1.4259058e-06
719	-6.6424997e-07
720	-5.4726784e-06
721	9.675056e-07
722	-2.3173872e-07
723	5.4656024e-08
724	2.71253e-06
725	7.054624e-07
726	-2.9355676e-06
727	3.2540373e-07
728	-2.8176564e-07
729	1.6220625e-06
730	-9.81611e-07
731	-5.0094184e-07
732	-6.056287e-07
733	7.427119e-07
734	1.7000705e-06
735	-4.4201056e-06
736	3.5085961e-06
737	3.455689e-07
738	2.1924218e-06
739	1.0992939e-06
740	-8.3681715e-07
741	-1.0578634e-06
742	-2.3325908e-06
743	-2.5119964e-06
744	3.1674272e-06
745	-7.374204e-07
746	-1.1175891e-06
747	-1.0122463e-06
748	-5.2276266e-07
749	-2.6512773e-06
750	-7.13706e-06
751	-5.0601295e-07
752	1.0631536e-05
753	-2.7010753e-06
754	5.1306097e-07
755	-1.7309343e-06
756	8.603907e-07
757	-9.873382e-07
758	5.6066926e-07
759	1.4126861e-06
760	2.4277954e-06
761	-4.635217e-06
762	-5.2293553e-06
763	-3.746609e-07
764	-8.167586e-07
765	-2.1553869e-07
766	2.485982e-06
767	-5.898679e-07
